500,0.993,-0.17,0.002,0.006,-7.386,0.732,0.889,-0.027
700,0.969,-0.251,0.003,0.007,-7.252,1.071,0.893,-0.048
900,0.947,-0.315,0.002,0.01,-7.158,1.403,0.883,-0.074
1100,0.921,-0.375,0.003,0.011,-7.042,1.722,0.885,-0.087
1300,0.893,-0.431,0.005,0.012,-6.89,1.987,0.877,-0.115
1500,0.851,-0.502,0.006,0.015,-6.699,2.392,0.865,-0.127
1700,0.819,-0.557,0.006,0.013,-6.553,2.675,0.857,-0.142
1900,0.772,-0.607,0.005,0.015,-6.314,2.958,0.849,-0.152
2100,0.73,-0.645,0.01,0.018,-6.105,3.153,0.853,-0.179
2300,0.681,-0.691,0.009,0.02,-5.86,3.381,0.84,-0.191
2500,0.644,-0.731,0.012,0.021,-5.684,3.57,0.829,-0.212
2700,0.589,-0.763,0.013,0.023,-5.404,3.781,0.816,-0.216
2900,0.547,-0.792,0.013,0.022,-5.206,3.918,0.81,-0.228
3100,0.495,-0.809,0.014,0.022,-4.919,4.026,0.796,-0.242
3300,0.444,-0.831,0.017,0.025,-4.664,4.147,0.793,-0.254
3500,0.396,-0.848,0.018,0.023,-4.407,4.247,0.783,-0.263
3700,0.348,-0.86,0.021,0.023,-4.171,4.322,0.773,-0.278
3900,0.299,-0.873,0.019,0.025,-3.897,4.408,0.768,-0.293
4100,0.253,-0.88,0.022,0.023,-3.644,4.481,0.75,-0.306
4300,0.207,-0.888,0.024,0.021,-3.42,4.529,0.747,-0.314
4500,0.173,-0.893,0.026,0.023,-3.235,4.547,0.74,-0.326
4700,0.129,-0.898,0.025,0.022,-3.021,4.562,0.733,-0.333
4900,0.086,-0.896,0.027,0.023,-2.81,4.586,0.722,-0.341
5100,0.051,-0.889,0.028,0.024,-2.604,4.546,0.708,-0.351
5300,0.017,-0.894,0.029,0.022,-2.456,4.554,0.7,-0.354
5500,-0.022,-0.884,0.032,0.022,-2.256,4.537,0.691,-0.364
5700,-0.05,-0.875,0.032,0.024,-2.081,4.485,0.686,-0.373
5900,-0.085,-0.869,0.031,0.021,-1.907,4.451,0.67,-0.375
6100,-0.119,-0.859,0.033,0.021,-1.747,4.412,0.669,-0.389
6300,-0.147,-0.852,0.032,0.02,-1.582,4.375,0.666,-0.391
6500,-0.173,-0.846,0.034,0.019,-1.461,4.34,0.655,-0.404
6700,-0.199,-0.837,0.035,0.019,-1.33,4.293,0.646,-0.409
6900,-0.227,-0.823,0.035,0.018,-1.17,4.226,0.638,-0.415
7100,-0.25,-0.814,0.036,0.02,-1.056,4.173,0.633,-0.421
7300,-0.276,-0.802,0.036,0.017,-0.927,4.12,0.622,-0.427
7500,-0.292,-0.794,0.036,0.017,-0.833,4.067,0.614,-0.427
7700,-0.317,-0.782,0.037,0.017,-0.718,4.012,0.609,-0.432
7900,-0.335,-0.768,0.036,0.019,-0.608,3.945,0.608,-0.439
8100,-0.356,-0.756,0.039,0.015,-0.542,3.876,0.599,-0.446
8300,-0.376,-0.746,0.04,0.015,-0.454,3.815,0.592,-0.454
8500,-0.392,-0.733,0.037,0.014,-0.361,3.757,0.582,-0.458
8700,-0.411,-0.722,0.037,0.014,-0.246,3.7,0.575,-0.466
8900,-0.422,-0.712,0.038,0.013,-0.179,3.648,0.568,-0.471
9100,-0.43,-0.701,0.04,0.015,-0.132,3.574,0.563,-0.473
9300,-0.453,-0.688,0.04,0.014,-0.017,3.53,0.562,-0.478
9500,-0.467,-0.679,0.038,0.01,0.039,3.479,0.549,-0.489
9700,-0.479,-0.665,0.041,0.011,0.11,3.407,0.545,-0.493
9900,-0.489,-0.654,0.039,0.01,0.162,3.354,0.53,-0.501
10100,-0.504,-0.644,0.04,0.01,0.235,3.288,0.521,-0.508
10300,-0.515,-0.628,0.039,0.009,0.292,3.226,0.515,-0.505
10500,-0.528,-0.62,0.038,0.01,0.335,3.165,0.505,-0.509
10700,-0.537,-0.608,0.041,0.008,0.374,3.107,0.511,-0.505
10900,-0.549,-0.6,0.039,0.008,0.419,3.068,0.505,-0.514
11100,-0.557,-0.589,0.04,0.008,0.461,2.997,0.503,-0.523
11300,-0.569,-0.58,0.041,0.007,0.504,2.961,0.492,-0.527
11500,-0.575,-0.568,0.041,0.007,0.541,2.885,0.484,-0.537
11700,-0.585,-0.557,0.038,0.008,0.595,2.835,0.476,-0.537
11900,-0.595,-0.551,0.039,0.007,0.628,2.795,0.464,-0.538
12100,-0.603,-0.536,0.041,0.006,0.685,2.738,0.458,-0.545
12300,-0.609,-0.527,0.039,0.007,0.723,2.699,0.459,-0.548
12500,-0.615,-0.516,0.039,0.005,0.754,2.623,0.453,-0.553
12700,-0.619,-0.506,0.039,0.006,0.784,2.576,0.448,-0.559
12900,-0.624,-0.495,0.039,0.004,0.813,2.53,0.441,-0.569
13100,-0.635,-0.487,0.038,0.002,0.844,2.486,0.429,-0.573
13300,-0.64,-0.479,0.037,0.005,0.867,2.445,0.422,-0.582
13500,-0.644,-0.471,0.038,0.003,0.882,2.387,0.41,-0.576
13700,-0.655,-0.46,0.038,0.002,0.906,2.355,0.409,-0.581
13900,-0.655,-0.447,0.035,0.001,0.923,2.287,0.404,-0.582
14100,-0.663,-0.443,0.036,0.002,0.951,2.251,0.392,-0.589
14300,-0.667,-0.433,0.036,2.09E-04,0.961,2.208,0.386,-0.595
